	shape	carat	color	clarity	cut	depth	table	lab	lab_id	price	url	img_url	cert_url	vid_url	date
0	ROUND	1.54	G	SI1	EX	60.1	59	GIA	2191034892	$10,972.50	http://bbucutting.com/view3dImages.asp?stock_no=2191034892				2018-03-26 13:35:55.273687
1	ROUND	1.52	G	SI1	EX	62.6	57	GIA	1182901393	$10,685.60	http://bbucutting.com/view3dImages.asp?stock_no=1182901393				2018-03-26 13:35:55.273687
2	ROUND	1.51	G	SI1	EX	62.7	58	GIA	5191011784	$11,045.65	http://bbucutting.com/view3dImages.asp?stock_no=5191011784				2018-03-26 13:35:55.273687
3	ROUND	1.50	G	SI1	EX	60.8	59	GIA	2195025659	$10,545.00	http://bbucutting.com/view3dImages.asp?stock_no=2195025659				2018-03-26 13:35:55.273687
4	ROUND	1.50	G	SI1	EX	62.7	58	GIA	2183990192	$10,687.50	http://bbucutting.com/view3dImages.asp?stock_no=2183990192				2018-03-26 13:35:55.273687
5	ROUND	1.80	H	SI1	EX	62.8	58	GIA	96951040	$11,682.00	http://bbucutting.com/view3dImages.asp?stock_no=96951040				2018-03-26 13:35:55.273687
6	ROUND	1.70	H	SI1	EX	61.1	59	GIA	2195034576	$12,275.70	http://bbucutting.com/view3dImages.asp?stock_no=2195034576				2018-03-26 13:35:55.273687
7	ROUND	1.70	H	SI1	EX	62.8	57	GIA	2195011874	$11,536.20	http://bbucutting.com/view3dImages.asp?stock_no=2195011874				2018-03-26 13:35:55.273687
8	ROUND	1.70	H	SI1	EX	62.8	56	GIA	5191034819	$11,832.00	http://bbucutting.com/view3dImages.asp?stock_no=5191034819				2018-03-26 13:35:55.273687
9	ROUND	1.62	H	SI1	EX	62.8	57	GIA	5192018862	$11,134.26	http://bbucutting.com/view3dImages.asp?stock_no=5192018862				2018-03-26 13:35:55.273687
10	ROUND	1.60	H	SI1	EX	60.9	59	GIA	6197049599	$10,718.40	http://bbucutting.com/view3dImages.asp?stock_no=6197049599				2018-03-26 13:35:55.273687
11	ROUND	1.53	H	SI1	EX	62.7	56	GIA	6183901365	$9,983.25	http://bbucutting.com/view3dImages.asp?stock_no=6183901365				2018-03-26 13:35:55.273687
12	ROUND	1.53	H	SI1	EX	62.3	56	GIA	2195018866	$9,850.14	http://bbucutting.com/view3dImages.asp?stock_no=2195018866				2018-03-26 13:35:55.273687
13	ROUND	1.51	H	SI1	EX	62.7	56	GIA	5182944771	$9,721.38	http://bbucutting.com/view3dImages.asp?stock_no=5182944771				2018-03-26 13:35:55.273687
14	ROUND	1.51	H	SI1	EX	62.5	59	GIA	2191034796	$9,721.38	http://bbucutting.com/view3dImages.asp?stock_no=2191034796				2018-03-26 13:35:55.273687
15	ROUND	1.51	H	SI1	EX	61.3	59	GIA	2191034806	$9,590.01	http://bbucutting.com/view3dImages.asp?stock_no=2191034806				2018-03-26 13:35:55.273687
16	ROUND	1.51	H	SI1	EX	62.4	56	GIA	2181898662	$10,115.49	http://bbucutting.com/view3dImages.asp?stock_no=2181898662				2018-03-26 13:35:55.273687
17	ROUND	1.51	H	SI1	EX	62.3	59	GIA	2181917105	$9,590.01	http://bbucutting.com/view3dImages.asp?stock_no=2181917105				2018-03-26 13:35:55.273687
18	ROUND	1.51	H	SI1	EX	61.3	58	GIA	6193011790	$9,458.64	http://bbucutting.com/view3dImages.asp?stock_no=6193011790				2018-03-26 13:35:55.273687
19	ROUND	1.50	H	SI1	VG	64.6	57	GIA	2183910516	$8,352.00	http://bbucutting.com/view3dImages.asp?stock_no=2183910516				2018-03-26 13:35:55.273687
20	ROUND	1.50	H	SI1	EX	62.1	58	GIA	2185921050	$9,526.50	http://bbucutting.com/view3dImages.asp?stock_no=2185921050				2018-03-26 13:35:55.273687
21	ROUND	1.50	H	SI1	EX	61.9	59	GIA	5192049098	$10,309.50	http://bbucutting.com/view3dImages.asp?stock_no=5192049098				2018-03-26 13:35:55.273687
