	shape	carat	color	clarity	cut	depth	table	lab	lab_id	price	url	img_url	cert_url	vid_url	date
0	ROUND	1.80	G	SI1	EX	60.5	59	GIA	1196124541	$14,193.00	http://bbucutting.com/view3dImages.asp?stock_no=1196124541				2018-04-30 15:33:29.708193
1	ROUND	1.52	G	SI1	EX	62.5	58	GIA	2191049663	$10,396.80	http://bbucutting.com/view3dImages.asp?stock_no=2191049663				2018-04-30 15:33:29.708193
2	ROUND	1.52	G	SI1	VG	64.3	58	GIA	5182957289	$9,530.40	http://bbucutting.com/view3dImages.asp?stock_no=5182957289				2018-04-30 15:33:29.708193
3	ROUND	1.51	G	SI1	EX	62.5	55	GIA	2195030451	$10,902.20	http://bbucutting.com/view3dImages.asp?stock_no=2195030451				2018-04-30 15:33:29.708193
4	ROUND	1.50	G	SI1	EX	60.8	59	GIA	2195025659	$10,402.50	http://bbucutting.com/view3dImages.asp?stock_no=2195025659				2018-04-30 15:33:29.708193
5	ROUND	1.50	G	SI1	EX	62.6	55	GIA	2181818812	$10,117.50	http://bbucutting.com/view3dImages.asp?stock_no=2181818812				2018-04-30 15:33:29.708193
6	ROUND	1.50	G	SI1	EX	61.8	59	GIA	6271348207	$10,687.50	http://bbucutting.com/view3dImages.asp?stock_no=6271348207				2018-04-30 15:33:29.708193
7	ROUND	1.70	H	SI1	EX	62.8	56	GIA	5191034819	$11,536.20	http://bbucutting.com/view3dImages.asp?stock_no=5191034819				2018-04-30 15:33:29.708193
8	ROUND	1.70	H	SI1	EX	62	56	GIA	2195174208	$11,684.10	http://bbucutting.com/view3dImages.asp?stock_no=2195174208				2018-04-30 15:33:29.708193
9	ROUND	1.62	H	SI1	EX	62.8	57	GIA	5192018862	$10,852.38	http://bbucutting.com/view3dImages.asp?stock_no=5192018862				2018-04-30 15:33:29.708193
10	ROUND	1.60	H	SI1	EX	60.7	58	GIA	2287251133	$11,136.00	http://bbucutting.com/view3dImages.asp?stock_no=2287251133				2018-04-30 15:33:29.708193
11	ROUND	1.60	H	SI1	EX	60.9	59	GIA	6197049599	$10,579.20	http://bbucutting.com/view3dImages.asp?stock_no=6197049599				2018-04-30 15:33:29.708193
12	ROUND	1.59	H	SI1	EX	61.1	59	GIA	5191057752	$10,651.41	http://bbucutting.com/view3dImages.asp?stock_no=5191057752				2018-04-30 15:33:29.708193
13	ROUND	1.52	H	SI1	EX	60.4	57	GIA	2195057774	$9,785.76	http://bbucutting.com/view3dImages.asp?stock_no=2195057774				2018-04-30 15:33:29.708193
14	ROUND	1.52	H	SI1	EX	62.6	57	GIA	1196156608	$9,785.76	http://bbucutting.com/view3dImages.asp?stock_no=1196156608				2018-04-30 15:33:29.708193
15	ROUND	1.51	H	SI1	EX	61.3	59	GIA	6193179714	$9,984.12	http://bbucutting.com/view3dImages.asp?stock_no=6193179714				2018-04-30 15:33:29.708193
16	ROUND	1.51	H	SI1	EX	62.2	58	GIA	5191181568	$8,801.79	http://bbucutting.com/view3dImages.asp?stock_no=5191181568				2018-04-30 15:33:29.708193
17	ROUND	1.50	H	SI1	VG	64.6	56	GIA	5191135206	$8,874.00	http://bbucutting.com/view3dImages.asp?stock_no=5191135206				2018-04-30 15:33:29.708193
18	ROUND	1.50	H	SI1	EX	62.1	58	GIA	96971020	$8,457.00	http://bbucutting.com/view3dImages.asp?stock_no=96971020				2018-04-30 15:33:29.708193
