	shape	carat	color	clarity	cut	depth	table	lab	lab_id	price	url	img_url	cert_url	vid_url	date
0	round	1.50	H	SI1	Signature Ideal	62.4%	57%	GIA	7286210170	$9023	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2263136	https://yadav-gemstone-graphics.s3.amazonaws.com/2263136_1.jpg	https://yadav-certs.s3.amazonaws.com/7286210170.jpg	http://www.yadavjewelry.com/diamonds/videos/2263136	04/18/18 15:47:26
1	round	1.50	H	SI1	Signature Ideal	63.1%	57%	GIA	1186945208	$9119	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2318897	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/1186945208.pdf		04/18/18 15:47:28
2	round	1.51	H	SI1	Signature Ideal	62.4%	58%	GIA	7273838408	$9149	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd1974755	https://yadav-gemstone-graphics.s3.amazonaws.com/1974755_1.jpg	https://yadav-certs.s3.amazonaws.com/7273838408.jpg	http://www.yadavjewelry.com/diamonds/videos/1974755	04/18/18 15:47:30
3	round	1.50	H	SI1	Signature Ideal	60.0%	62%	GIA	1192135659	$9189	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2168942	https://yadav-gemstone-graphics.s3.amazonaws.com/2168942_1.jpg	https://yadav-certs.s3.amazonaws.com/1192135659.pdf	http://www.yadavjewelry.com/diamonds/videos/2168942	04/18/18 15:47:31
4	round	1.50	H	SI1	Signature Ideal	62.3%	60%	GIA	1285035761	$9220	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2308508	https://yadav-gemstone-graphics.s3.amazonaws.com/2308508_1.jpg	https://yadav-certs.s3.amazonaws.com/1285035761.pdf	http://www.yadavjewelry.com/diamonds/videos/2308508	04/18/18 15:47:33
5	round	1.50	H	SI1	Signature Ideal	62.8%	56%	GIA	6271733871	$9220	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2194632	https://yadav-gemstone-graphics.s3.amazonaws.com/2194632_1.jpg	https://yadav-certs.s3.amazonaws.com/6271733871.pdf	http://www.yadavjewelry.com/diamonds/videos/2194632	04/18/18 15:47:34
6	round	1.51	H	SI1	Signature Ideal	62.1%	58%	GIA	2195212220	$9240	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd2282957	https://yadav-gemstone-graphics.s3.amazonaws.com/2282957_1.jpg	https://yadav-certs.s3.amazonaws.com/2195212220.jpg	http://www.yadavjewelry.com/diamonds/videos/2282957	04/18/18 15:47:34
7	round	1.50	H	SI1	Signature Ideal	61.8%	60%	GIA	6285411912	$9259	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2317975	https://yadav-gemstone-graphics.s3.amazonaws.com/2317975_1.jpg	https://yadav-certs.s3.amazonaws.com/6285411912.pdf		04/18/18 15:47:35
8	round	1.50	H	SI1	Signature Ideal	62.9%	58%	GIA	2274986290	$9307	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2325785	https://yadav-gemstone-graphics.s3.amazonaws.com/2325785_1.jpg	https://yadav-certs.s3.amazonaws.com/2274986290.jpg	http://www.yadavjewelry.com/diamonds/videos/2325785	04/18/18 15:47:36
9	round	1.50	H	SI1	Signature Ideal	61.7%	58%	GIA	1287027598	$9320	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2051069	https://yadav-gemstone-graphics.s3.amazonaws.com/2051069_1.jpg	https://yadav-certs.s3.amazonaws.com/1287027598.jpg	http://www.yadavjewelry.com/diamonds/videos/2051069	04/18/18 15:47:38
10	round	1.51	H	SI1	Signature Ideal	62.5%	57%	GIA	1186746283	$9321	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd2318894	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/1186746283.pdf		04/18/18 15:47:39
11	round	1.51	H	SI1	Signature Ideal	62.7%	56%	GIA	5182918205	$9321	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd2117294	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/5182918205.pdf		04/18/18 15:47:41
12	round	1.50	H	SI1	Signature Ideal	62.0%	58%	GIA	2195006104	$9365	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2060931	https://yadav-gemstone-graphics.s3.amazonaws.com/2060931_1.jpg	https://yadav-certs.s3.amazonaws.com/2195006104.jpg	http://www.yadavjewelry.com/diamonds/videos/2060931	04/18/18 15:47:42
13	round	1.50	H	SI1	Signature Ideal	61.6%	61%	GIA	2287147824	$9371	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2309404	https://yadav-gemstone-graphics.s3.amazonaws.com/2309404_1.jpg	https://yadav-certs.s3.amazonaws.com/2287147824.jpg	http://www.yadavjewelry.com/diamonds/videos/2309404	04/18/18 15:47:44
14	round	1.50	H	SI1	Signature Ideal	57.6%	61%	GIA	6271345797	$9399	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2266878	https://yadav-gemstone-graphics.s3.amazonaws.com/2266878_1.jpg	https://yadav-certs.s3.amazonaws.com/6271345797.pdf		04/18/18 15:47:45
15	round	1.53	H	SI1	Signature Ideal	62.6%	57%	GIA	2276907866	$9408	https://www.yadavjewelry.com/diamond/round-diamond-1.53-carat-H-SI1-yd2088855	https://yadav-gemstone-graphics.s3.amazonaws.com/2088855_1.jpg	https://yadav-certs.s3.amazonaws.com/2276907866.pdf	http://www.yadavjewelry.com/diamonds/videos/2088855	04/18/18 15:47:46
16	round	1.50	H	SI1	Signature Ideal	61.4%	60%	GIA	5246864492	$9428	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd1732963	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/5246864492.pdf		04/18/18 15:47:47
17	round	1.50	H	SI1	Signature Ideal	62.9%	54%	GIA	2278544026	$9507	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2226087	https://yadav-gemstone-graphics.s3.amazonaws.com/2226087_1.jpg	https://yadav-certs.s3.amazonaws.com/2278544026.pdf	http://www.yadavjewelry.com/diamonds/videos/2226087	04/18/18 15:47:48
18	round	1.50	G	SI1	Signature Ideal	63.1%	57%	GIA	7251469800	$9574	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-G-SI1-yd2080802	https://yadav-gemstone-graphics.s3.amazonaws.com/2080802_1.jpg	https://yadav-certs.s3.amazonaws.com/7251469800.pdf	http://www.yadavjewelry.com/diamonds/videos/2080802	04/18/18 15:47:48
19	round	1.52	H	SI1	Signature Ideal	59.8%	59%	GIA	6193054672	$9628	https://www.yadavjewelry.com/diamond/round-diamond-1.52-carat-H-SI1-yd2024226	https://yadav-gemstone-graphics.s3.amazonaws.com/2024226_1.jpg	https://yadav-certs.s3.amazonaws.com/6193054672.jpg	http://www.yadavjewelry.com/diamonds/videos/2024226	04/18/18 15:47:49
20	round	1.50	H	SI1	Signature Ideal	62.5%	57%	GIA	6271965387	$9635	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2232869	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/6271965387.jpg	http://www.yadavjewelry.com/diamonds/videos/2232869	04/18/18 15:47:50
21	round	1.50	H	SI1	Signature Ideal	62.0%	57%	GIA	7282133384	$9641	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2275812	https://yadav-gemstone-graphics.s3.amazonaws.com/2275812_1.jpg	https://yadav-certs.s3.amazonaws.com/7282133384.jpg	http://www.yadavjewelry.com/diamonds/videos/2275812	04/18/18 15:47:51
22	round	1.50	H	SI1	Signature Ideal	62.2%	57%	GIA	1285521312	$9646	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2309403	https://yadav-gemstone-graphics.s3.amazonaws.com/2309403_1.jpg	https://yadav-certs.s3.amazonaws.com/1285521312.jpg	http://www.yadavjewelry.com/diamonds/videos/2309403	04/18/18 15:47:51
23	round	1.50	H	SI1	Signature Ideal	60.0%	60%	GIA	6285562282	$9660	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2330885	https://yadav-gemstone-graphics.s3.amazonaws.com/2330885_1.jpg	https://yadav-certs.s3.amazonaws.com/6285562282.jpg	http://www.yadavjewelry.com/diamonds/videos/2330885	04/18/18 15:47:52
24	round	1.51	H	SI1	Signature Ideal	61.1%	59%	GIA	6197208300	$9674	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd2317832	https://yadav-gemstone-graphics.s3.amazonaws.com/2317832_1.jpg	https://yadav-certs.s3.amazonaws.com/6197208300.pdf	http://www.yadavjewelry.com/diamonds/videos/2317832	04/18/18 15:47:53
25	round	1.51	H	SI1	Signature Ideal	62.4%	55%	GIA	6282336870	$9674	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd2304842	https://yadav-gemstone-graphics.s3.amazonaws.com/2304842_1.jpg	https://yadav-certs.s3.amazonaws.com/6282336870.pdf	http://www.yadavjewelry.com/diamonds/videos/2304842	04/18/18 15:47:54
26	round	1.53	H	SI1	Signature Ideal	61.2%	61%	GIA	2176428376	$9685	https://www.yadavjewelry.com/diamond/round-diamond-1.53-carat-H-SI1-yd2318868	https://yadav-gemstone-graphics.s3.amazonaws.com/2318868_1.jpg	https://yadav-certs.s3.amazonaws.com/2176428376.jpg		04/18/18 15:47:54
