	shape	carat	color	clarity	cut	depth	table	lab	lab_id	price	url	img_url	cert_url	vid_url	date
0	round	1.50	H	SI1	Signature Ideal	62.7%	59%	GIA	2277552389	$9047	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2441906	https://yadav-gemstone-graphics.s3.amazonaws.com/2441906_1.jpg	https://yadav-certs.s3.amazonaws.com/2277552389.pdf	http://www.yadavjewelry.com/diamonds/videos/2441906	05/11/18 13:06:46
1	round	1.50	H	SI1	Signature Ideal	61.4%	57%	GIA	1283746791	$9072	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2439408	https://yadav-gemstone-graphics.s3.amazonaws.com/2439408_1.jpg	https://yadav-certs.s3.amazonaws.com/1283746791.jpg	http://www.yadavjewelry.com/diamonds/videos/2439408	05/11/18 13:06:47
2	round	1.51	H	SI1	Signature Ideal	62.1%	58%	GIA	2195212220	$9085	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd2437327	https://yadav-gemstone-graphics.s3.amazonaws.com/2437327_1.jpg	https://yadav-certs.s3.amazonaws.com/2195212220.jpg	http://www.yadavjewelry.com/diamonds/videos/2437327	05/11/18 13:06:48
3	round	1.50	H	SI1	Signature Ideal	63.1%	57%	GIA	1186945208	$9119	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2490766	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/1186945208.pdf		05/11/18 13:06:48
4	round	1.56	H	SI1	Signature Ideal	62.6%	57%	GIA	6285095784	$9123	https://www.yadavjewelry.com/diamond/round-diamond-1.56-carat-H-SI1-yd2442496		https://yadav-certs.s3.amazonaws.com/6285095784.pdf	http://www.yadavjewelry.com/diamonds/videos/2442496	05/11/18 13:06:49
5	round	1.51	H	SI1	Signature Ideal	62.4%	58%	GIA	7273838408	$9178	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd2436692	https://yadav-gemstone-graphics.s3.amazonaws.com/2436692_1.jpg	https://yadav-certs.s3.amazonaws.com/7273838408.jpg	http://www.yadavjewelry.com/diamonds/videos/2436692	05/11/18 13:06:50
6	round	1.50	H	SI1	Signature Ideal	61.9%	59%	GIA	5181929505	$9216	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2432411	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/5181929505.pdf		05/11/18 13:06:51
7	round	1.50	H	SI1	Signature Ideal	62.8%	56%	GIA	6271733871	$9220	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2470564	https://yadav-gemstone-graphics.s3.amazonaws.com/2470564_1.jpg	https://yadav-certs.s3.amazonaws.com/6271733871.pdf	http://www.yadavjewelry.com/diamonds/videos/2470564	05/11/18 13:06:52
8	round	1.50	H	SI1	Signature Ideal	62.7%	58%	GIA	5283260057	$9224	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2523616	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/5283260057.pdf	http://www.yadavjewelry.com/diamonds/videos/2523616	05/11/18 13:06:53
9	round	1.53	H	SI1	Signature Ideal	62.7%	57%	GIA	6282234574	$9228	https://www.yadavjewelry.com/diamond/round-diamond-1.53-carat-H-SI1-yd2442658		https://yadav-certs.s3.amazonaws.com/6282234574.pdf	http://www.yadavjewelry.com/diamonds/videos/2442658	05/11/18 13:06:53
