	shape	carat	color	clarity	cut	depth	table	lab	lab_id	price	url	img_url	cert_url	vid_url	date
0	round	1.50	H	SI1	Signature Ideal	62.4%	57%	GIA	7286210170	$9024	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2263136	https://yadav-gemstone-graphics.s3.amazonaws.com/2263136_1.jpg	https://yadav-certs.s3.amazonaws.com/7286210170.jpg	http://www.yadavjewelry.com/diamonds/videos/2263136	04/13/18 17:27:44
1	round	1.52	H	SI1	Signature Ideal	61.1%	57%	GIA	6285335911	$9165	https://www.yadavjewelry.com/diamond/round-diamond-1.52-carat-H-SI1-yd2135749	https://yadav-gemstone-graphics.s3.amazonaws.com/2135749_1.jpg	https://yadav-certs.s3.amazonaws.com/6285335911.pdf	https://yadav-videos.s3.amazonaws.com/6285335911.mp4	04/13/18 17:27:48
2	round	1.50	H	SI1	Signature Ideal	60.0%	62%	GIA	1192135659	$9189	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2168942	https://yadav-gemstone-graphics.s3.amazonaws.com/2168942_1.jpg	https://yadav-certs.s3.amazonaws.com/1192135659.pdf	http://www.yadavjewelry.com/diamonds/videos/2168942	04/13/18 17:27:51
3	round	1.51	H	SI1	Signature Ideal	62.4%	58%	GIA	7273838408	$9191	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd1974755	https://yadav-gemstone-graphics.s3.amazonaws.com/1974755_1.jpg	https://yadav-certs.s3.amazonaws.com/7273838408.jpg	http://www.yadavjewelry.com/diamonds/videos/1974755	04/13/18 17:27:52
4	round	1.50	H	SI1	Signature Ideal	62.3%	60%	GIA	1285035761	$9254	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2308508	https://yadav-gemstone-graphics.s3.amazonaws.com/2308508_1.jpg	https://yadav-certs.s3.amazonaws.com/1285035761.pdf	http://www.yadavjewelry.com/diamonds/videos/2308508	04/13/18 17:27:53
5	round	1.50	H	SI1	Signature Ideal	62.8%	56%	GIA	6271733871	$9254	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2194632	https://yadav-gemstone-graphics.s3.amazonaws.com/2194632_1.jpg	https://yadav-certs.s3.amazonaws.com/6271733871.pdf	http://www.yadavjewelry.com/diamonds/videos/2194632	04/13/18 17:27:55
6	round	1.51	H	SI1	Signature Ideal	62.1%	58%	GIA	2195212220	$9283	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd2282957	https://yadav-gemstone-graphics.s3.amazonaws.com/2282957_1.jpg	https://yadav-certs.s3.amazonaws.com/2195212220.jpg	http://www.yadavjewelry.com/diamonds/videos/2282957	04/13/18 17:27:56
7	round	1.50	H	SI1	Signature Ideal	62.0%	58%	GIA	2195055928	$9283	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2024484	https://yadav-gemstone-graphics.s3.amazonaws.com/2024484_1.jpg	https://yadav-certs.s3.amazonaws.com/2195055928.jpg	http://www.yadavjewelry.com/diamonds/videos/2024484	04/13/18 17:27:57
8	round	1.51	H	SI1	Signature Ideal	62.7%	56%	GIA	5182918205	$9321	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd2117294	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/5182918205.pdf		04/13/18 17:27:59
9	round	1.51	H	SI1	Signature Ideal	61.3%	59%	GIA	6272533828	$9321	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd2313230	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/6272533828.pdf		04/13/18 17:28:00
10	round	1.50	H	SI1	Signature Ideal	61.7%	58%	GIA	1287027598	$9364	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2051069	https://yadav-gemstone-graphics.s3.amazonaws.com/2051069_1.jpg	https://yadav-certs.s3.amazonaws.com/1287027598.jpg	http://www.yadavjewelry.com/diamonds/videos/2051069	04/13/18 17:28:03
11	round	1.50	H	SI1	Signature Ideal	62.9%	58%	GIA	2274986290	$9392	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2309402	https://yadav-gemstone-graphics.s3.amazonaws.com/2309402_1.jpg	https://yadav-certs.s3.amazonaws.com/2274986290.jpg	http://www.yadavjewelry.com/diamonds/videos/2309402	04/13/18 17:28:04
12	round	1.50	H	SI1	Signature Ideal	57.6%	61%	GIA	6271345797	$9399	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2266878	https://yadav-gemstone-graphics.s3.amazonaws.com/2266878_1.jpg	https://yadav-certs.s3.amazonaws.com/6271345797.pdf		04/13/18 17:28:06
13	round	1.53	H	SI1	Signature Ideal	62.6%	57%	GIA	2276907866	$9408	https://www.yadavjewelry.com/diamond/round-diamond-1.53-carat-H-SI1-yd2088855	https://yadav-gemstone-graphics.s3.amazonaws.com/2088855_1.jpg	https://yadav-certs.s3.amazonaws.com/2276907866.pdf	http://www.yadavjewelry.com/diamonds/videos/2088855	04/13/18 17:28:07
14	round	1.50	H	SI1	Signature Ideal	62.0%	58%	GIA	2195006104	$9409	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2060931	https://yadav-gemstone-graphics.s3.amazonaws.com/2060931_1.jpg	https://yadav-certs.s3.amazonaws.com/2195006104.jpg	http://www.yadavjewelry.com/diamonds/videos/2060931	04/13/18 17:28:08
15	round	1.50	H	SI1	Signature Ideal	61.4%	60%	GIA	5246864492	$9428	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd1732963	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/5246864492.pdf		04/13/18 17:28:10
16	round	1.50	H	SI1	Signature Ideal	61.6%	61%	GIA	2287147824	$9467	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2309404	https://yadav-gemstone-graphics.s3.amazonaws.com/2309404_1.jpg	https://yadav-certs.s3.amazonaws.com/2287147824.jpg	http://www.yadavjewelry.com/diamonds/videos/2309404	04/13/18 17:28:11
17	round	1.51	H	SI1	Signature Ideal	62.6%	58%	GIA	2195086934	$9488	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd2229095	https://yadav-gemstone-graphics.s3.amazonaws.com/2229095_1.jpg	https://yadav-certs.s3.amazonaws.com/2195086934.pdf	http://www.yadavjewelry.com/diamonds/videos/2229095	04/13/18 17:28:13
18	round	1.50	H	SI1	Signature Ideal	62.9%	54%	GIA	2278544026	$9506	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2226087	https://yadav-gemstone-graphics.s3.amazonaws.com/2226087_1.jpg	https://yadav-certs.s3.amazonaws.com/2278544026.pdf	http://www.yadavjewelry.com/diamonds/videos/2226087	04/13/18 17:28:14
19	round	1.50	G	SI1	Signature Ideal	63.1%	57%	GIA	7251469800	$9574	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-G-SI1-yd2080802	https://yadav-gemstone-graphics.s3.amazonaws.com/2080802_1.jpg	https://yadav-certs.s3.amazonaws.com/7251469800.pdf	http://www.yadavjewelry.com/diamonds/videos/2080802	04/13/18 17:28:15
20	round	1.50	H	SI1	Signature Ideal	62.5%	57%	GIA	6271965387	$9635	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2232869	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/6271965387.jpg	http://www.yadavjewelry.com/diamonds/videos/2232869	04/13/18 17:28:16
21	round	1.52	H	SI1	Signature Ideal	59.8%	59%	GIA	6193054672	$9672	https://www.yadavjewelry.com/diamond/round-diamond-1.52-carat-H-SI1-yd2024226	https://yadav-gemstone-graphics.s3.amazonaws.com/2024226_1.jpg	https://yadav-certs.s3.amazonaws.com/6193054672.jpg	http://www.yadavjewelry.com/diamonds/videos/2024226	04/13/18 17:28:16
22	round	1.51	H	SI1	Signature Ideal	62.4%	55%	GIA	6282336870	$9674	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd2304842	https://yadav-gemstone-graphics.s3.amazonaws.com/2304842_1.jpg	https://yadav-certs.s3.amazonaws.com/6282336870.pdf	http://www.yadavjewelry.com/diamonds/videos/2304842	04/13/18 17:28:17
23	round	1.50	H	SI1	Signature Ideal	62.0%	57%	GIA	7282133384	$9686	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2275812	https://yadav-gemstone-graphics.s3.amazonaws.com/2275812_1.jpg	https://yadav-certs.s3.amazonaws.com/7282133384.jpg	http://www.yadavjewelry.com/diamonds/videos/2275812	04/13/18 17:28:18
24	round	1.60	H	SI1	Signature Ideal	62.3%	58%	GIA	3275971711	$9727	https://www.yadavjewelry.com/diamond/round-diamond-1.60-carat-H-SI1-yd2305431	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/3275971711.pdf		04/13/18 17:28:18
25	round	1.50	H	SI1	Signature Ideal	63.0%	57%	GIA	6222135349	$9732	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd1798679	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/6222135349.pdf		04/13/18 17:28:19
26	round	1.52	H	SI1	Signature Ideal	62.6%	57%	GIA	5256062694	$9739	https://www.yadavjewelry.com/diamond/round-diamond-1.52-carat-H-SI1-yd2312347	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/5256062694.pdf		04/13/18 17:28:21
27	round	1.50	H	SI1	Signature Ideal	62.2%	57%	GIA	1285521312	$9746	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2309403	https://yadav-gemstone-graphics.s3.amazonaws.com/2309403_1.jpg	https://yadav-certs.s3.amazonaws.com/1285521312.jpg	http://www.yadavjewelry.com/diamonds/videos/2309403	04/13/18 17:28:22
28	round	1.51	G	SI1	Signature Ideal	62.7%	59%	GIA	7276710979	$9755	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-G-SI1-yd2315691	https://yadav-gemstone-graphics.s3.amazonaws.com/2315691_1.jpg	https://yadav-certs.s3.amazonaws.com/7276710979.pdf	http://www.yadavjewelry.com/diamonds/videos/2315691	04/13/18 17:28:23
29	round	1.56	H	SI1	Signature Ideal	62.4%	58%	GIA	5181390172	$9760	https://www.yadavjewelry.com/diamond/round-diamond-1.56-carat-H-SI1-yd996046	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/5181390172.pdf		04/13/18 17:28:24
30	round	1.50	H	SI1	Signature Ideal	62.8%	55%	GIA	1288024613	$9774	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2131423	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/1288024613.jpg		04/13/18 17:28:24
31	round	1.50	H	SI1	Signature Ideal	62.3%	59%	GIA	1287059631	$9774	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2249383	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/1287059631.jpg	http://www.yadavjewelry.com/diamonds/videos/2249383	04/13/18 17:28:25
32	round	1.54	H	SI1	Signature Ideal	62.0%	59%	GIA	2171644190	$9776	https://www.yadavjewelry.com/diamond/round-diamond-1.54-carat-H-SI1-yd995482	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/2171644190.pdf		04/13/18 17:28:26
33	round	1.50	H	VS2	Signature Ideal	62.3%	58%	GIA	1196186345	$9854	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-VS2-yd2264623	https://yadav-gemstone-graphics.s3.amazonaws.com/2264623_1.jpg	https://yadav-certs.s3.amazonaws.com/1196186345.jpg	http://www.yadavjewelry.com/diamonds/videos/2264623	04/13/18 17:28:26
34	round	1.50	G	SI1	Signature Ideal	60.3%	60%	GIA	1278928869	$9865	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-G-SI1-yd2111291	https://yadav-gemstone-graphics.s3.amazonaws.com/2111291_1.jpg	https://yadav-certs.s3.amazonaws.com/1278928869.pdf		04/13/18 17:28:27
35	round	1.54	H	SI1	Signature Ideal	62.0%	60%	GIA	7273679002	$9873	https://www.yadavjewelry.com/diamond/round-diamond-1.54-carat-H-SI1-yd2242825	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/7273679002.pdf	http://www.yadavjewelry.com/diamonds/videos/2242825	04/13/18 17:28:28
36	round	1.50	G	SI1	Signature Ideal	62.7%	56%	GIA	6281146105	$9899	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-G-SI1-yd2262592	https://yadav-gemstone-graphics.s3.amazonaws.com/2262592_1.jpg	https://yadav-certs.s3.amazonaws.com/6281146105.jpg	http://www.yadavjewelry.com/diamonds/videos/2262592	04/13/18 17:28:28
37	round	1.50	H	SI1	Signature Ideal	61.8%	56%	GIA	2195221416	$9913	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2283043	https://yadav-gemstone-graphics.s3.amazonaws.com/2283043_1.jpg	https://yadav-certs.s3.amazonaws.com/2195221416.jpg	http://www.yadavjewelry.com/diamonds/videos/2283043	04/13/18 17:28:29
38	round	1.50	H	SI1	Signature Ideal	61.5%	61%	GIA	7283107670	$9914	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2235437	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/7283107670.jpg	http://www.yadavjewelry.com/diamonds/videos/2235437	04/13/18 17:28:30
39	round	1.51	H	SI1	Signature Ideal	61.5%	58%	GIA	5181975625	$9922	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd2252585	https://yadav-gemstone-graphics.s3.amazonaws.com/2252585_1.jpg	https://yadav-certs.s3.amazonaws.com/5181975625.pdf	http://www.yadavjewelry.com/diamonds/videos/2252585	04/13/18 17:28:30
40	round	1.50	H	SI1	Signature Ideal	62.2%	57%	GIA	5191212224	$9958	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2282973	https://yadav-gemstone-graphics.s3.amazonaws.com/2282973_1.jpg	https://yadav-certs.s3.amazonaws.com/5191212224.jpg	http://www.yadavjewelry.com/diamonds/videos/2282973	04/13/18 17:28:31
41	round	1.50	G	SI1	Signature Ideal	62.6%	56%	GIA	1182970177	$10020	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-G-SI1-yd2245102	https://yadav-gemstone-graphics.s3.amazonaws.com/2245102_1.jpg	https://yadav-certs.s3.amazonaws.com/1182970177.pdf	http://www.yadavjewelry.com/diamonds/videos/2245102	04/13/18 17:28:32
42	round	1.50	H	SI1	Signature Ideal	61.0%	60%	GIA	1285230384	$10031	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2304037	https://yadav-gemstone-graphics.s3.amazonaws.com/2304037_1.jpg	https://yadav-certs.s3.amazonaws.com/1285230384.jpg	http://www.yadavjewelry.com/diamonds/videos/2304037	04/13/18 17:28:33
43	round	1.50	G	SI1	Signature Ideal	62.9%	58%	GIA	1278885011	$10051	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-G-SI1-yd2271382	https://yadav-gemstone-graphics.s3.amazonaws.com/2271382_1.jpg	https://yadav-certs.s3.amazonaws.com/1278885011.pdf		04/13/18 17:28:34
44	round	1.50	H	VS2	Signature Ideal	61.6%	59%	GIA	5192201217	$10055	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-VS2-yd2275885	https://yadav-gemstone-graphics.s3.amazonaws.com/2275885_1.jpg	https://yadav-certs.s3.amazonaws.com/5192201217.jpg	http://www.yadavjewelry.com/diamonds/videos/2275885	04/13/18 17:28:34
45	round	1.52	G	SI1	Signature Ideal	62.7%	55%	GIA	1176141136	$10100	https://www.yadavjewelry.com/diamond/round-diamond-1.52-carat-G-SI1-yd1972505	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/1176141136.pdf		04/13/18 17:28:35
46	round	1.51	G	SI1	Signature Ideal	62.7%	57%	GIA	2195083518	$10103	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-G-SI1-yd2225374	https://yadav-gemstone-graphics.s3.amazonaws.com/2225374_1.jpg	https://yadav-certs.s3.amazonaws.com/2195083518.pdf	http://www.yadavjewelry.com/diamonds/videos/2225374	04/13/18 17:28:35
47	round	1.50	H	VS2	Signature Ideal	62.5%	58%	GIA	2191217971	$10117	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-VS2-yd2285859	https://yadav-gemstone-graphics.s3.amazonaws.com/2285859_1.jpg	https://yadav-certs.s3.amazonaws.com/2191217971.jpg	http://www.yadavjewelry.com/diamonds/videos/2285859	04/13/18 17:28:36
