	shape	carat	color	clarity	cut	depth	table	lab	lab_id	price	url	img_url	cert_url	vid_url	date
0	round	1.50	H	SI1	Signature Ideal	62.4%	57%	GIA	7286210170	$9024	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2263136	https://yadav-gemstone-graphics.s3.amazonaws.com/2263136_1.jpg	https://yadav-certs.s3.amazonaws.com/7286210170.jpg	http://www.yadavjewelry.com/diamonds/videos/2263136	04/15/18 01:57:11
1	round	1.50	H	SI1	Signature Ideal	63.1%	57%	GIA	1186945208	$9119	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2318897	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/1186945208.pdf		04/15/18 01:57:13
2	round	1.52	H	SI1	Signature Ideal	61.1%	57%	GIA	6285335911	$9165	https://www.yadavjewelry.com/diamond/round-diamond-1.52-carat-H-SI1-yd2135749	https://yadav-gemstone-graphics.s3.amazonaws.com/2135749_1.jpg	https://yadav-certs.s3.amazonaws.com/6285335911.pdf	https://yadav-videos.s3.amazonaws.com/6285335911.mp4	04/15/18 01:57:15
3	round	1.50	H	SI1	Signature Ideal	60.0%	62%	GIA	1192135659	$9189	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2168942	https://yadav-gemstone-graphics.s3.amazonaws.com/2168942_1.jpg	https://yadav-certs.s3.amazonaws.com/1192135659.pdf	http://www.yadavjewelry.com/diamonds/videos/2168942	04/15/18 01:57:16
4	round	1.51	H	SI1	Signature Ideal	62.4%	58%	GIA	7273838408	$9191	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd1974755	https://yadav-gemstone-graphics.s3.amazonaws.com/1974755_1.jpg	https://yadav-certs.s3.amazonaws.com/7273838408.jpg	http://www.yadavjewelry.com/diamonds/videos/1974755	04/15/18 01:57:18
5	round	1.50	H	SI1	Signature Ideal	62.3%	60%	GIA	1285035761	$9254	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2308508	https://yadav-gemstone-graphics.s3.amazonaws.com/2308508_1.jpg	https://yadav-certs.s3.amazonaws.com/1285035761.pdf	http://www.yadavjewelry.com/diamonds/videos/2308508	04/15/18 01:57:18
6	round	1.50	H	SI1	Signature Ideal	62.8%	56%	GIA	6271733871	$9254	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2194632	https://yadav-gemstone-graphics.s3.amazonaws.com/2194632_1.jpg	https://yadav-certs.s3.amazonaws.com/6271733871.pdf	http://www.yadavjewelry.com/diamonds/videos/2194632	04/15/18 01:57:21
7	round	1.50	H	SI1	Signature Ideal	61.8%	60%	GIA	6285411912	$9259	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2317975	https://yadav-gemstone-graphics.s3.amazonaws.com/2317975_1.jpg	https://yadav-certs.s3.amazonaws.com/6285411912.pdf		04/15/18 01:57:21
8	round	1.50	H	SI1	Signature Ideal	62.0%	58%	GIA	2195055928	$9283	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2024484	https://yadav-gemstone-graphics.s3.amazonaws.com/2024484_1.jpg	https://yadav-certs.s3.amazonaws.com/2195055928.jpg	http://www.yadavjewelry.com/diamonds/videos/2024484	04/15/18 01:57:22
9	round	1.51	H	SI1	Signature Ideal	62.1%	58%	GIA	2195212220	$9283	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd2282957	https://yadav-gemstone-graphics.s3.amazonaws.com/2282957_1.jpg	https://yadav-certs.s3.amazonaws.com/2195212220.jpg	http://www.yadavjewelry.com/diamonds/videos/2282957	04/15/18 01:57:23
10	round	1.51	H	SI1	Signature Ideal	62.7%	56%	GIA	5182918205	$9321	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd2117294	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/5182918205.pdf		04/15/18 01:57:23
