	shape	carat	color	clarity	cut	depth	table	lab	lab_id	price	url	img_url	cert_url	vid_url	date
0	round	1.50	H	SI1	Signature Ideal	60.0%	62%	GIA	1192135659	$9189	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2168942	https://yadav-gemstone-graphics.s3.amazonaws.com/2168942_1.jpg	https://yadav-certs.s3.amazonaws.com/1192135659.pdf	http://www.yadavjewelry.com/diamonds/videos/2168942	04/30/18 15:30:41
1	round	1.50	H	SI1	Signature Ideal	61.6%	61%	GIA	2287147824	$9234	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2397230	https://yadav-gemstone-graphics.s3.amazonaws.com/2397230_1.jpg	https://yadav-certs.s3.amazonaws.com/2287147824.jpg	http://www.yadavjewelry.com/diamonds/videos/2397230	04/30/18 15:30:44
2	round	1.50	H	SI1	Signature Ideal	61.4%	60%	GIA	5246864492	$9428	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd1732963	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/5246864492.pdf		04/30/18 15:30:46
3	round	1.50	G	SI1	Signature Ideal	63.1%	57%	GIA	7251469800	$9498	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-G-SI1-yd2080802	https://yadav-gemstone-graphics.s3.amazonaws.com/2080802_1.jpg	https://yadav-certs.s3.amazonaws.com/7251469800.pdf	http://www.yadavjewelry.com/diamonds/videos/2080802	04/30/18 15:30:49
4	round	1.50	H	SI1	Signature Ideal	63.2%	55%	GIA	6285106076	$9617	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2340800	https://yadav-gemstone-graphics.s3.amazonaws.com/2340800_1.jpg	https://yadav-certs.s3.amazonaws.com/6285106076.pdf	http://www.yadavjewelry.com/diamonds/videos/2340800	04/30/18 15:30:49
5	round	1.50	H	SI1	Signature Ideal	62.5%	57%	GIA	6271965387	$9635	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2232869	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/6271965387.jpg	http://www.yadavjewelry.com/diamonds/videos/2232869	04/30/18 15:30:52
6	round	1.52	H	SI1	Signature Ideal	62.6%	57%	GIA	1196156608	$9653	https://www.yadavjewelry.com/diamond/round-diamond-1.52-carat-H-SI1-yd2344962	https://yadav-gemstone-graphics.s3.amazonaws.com/2344962_1.jpg	https://yadav-certs.s3.amazonaws.com/1196156608.pdf	http://www.yadavjewelry.com/diamonds/videos/2344962	04/30/18 15:30:53
7	round	1.53	H	SI1	Signature Ideal	61.2%	61%	GIA	2176428376	$9685	https://www.yadavjewelry.com/diamond/round-diamond-1.53-carat-H-SI1-yd2318868	https://yadav-gemstone-graphics.s3.amazonaws.com/2318868_1.jpg	https://yadav-certs.s3.amazonaws.com/2176428376.jpg		04/30/18 15:30:53
8	round	1.52	H	SI1	Signature Ideal	60.4%	57%	GIA	2195057774	$9699	https://www.yadavjewelry.com/diamond/round-diamond-1.52-carat-H-SI1-yd2407628	https://yadav-gemstone-graphics.s3.amazonaws.com/2407628_1.jpg	https://yadav-certs.s3.amazonaws.com/2195057774.pdf	http://www.yadavjewelry.com/diamonds/videos/2407628	04/30/18 15:30:55
9	round	1.50	H	SI1	Signature Ideal	63.0%	57%	GIA	6222135349	$9732	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd1798679	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/6222135349.pdf		04/30/18 15:30:56
10	round	1.52	H	SI1	Signature Ideal	62.6%	57%	GIA	5256062694	$9739	https://www.yadavjewelry.com/diamond/round-diamond-1.52-carat-H-SI1-yd2312347	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/5256062694.pdf		04/30/18 15:30:57
11	round	1.56	H	SI1	Signature Ideal	62.4%	58%	GIA	5181390172	$9760	https://www.yadavjewelry.com/diamond/round-diamond-1.56-carat-H-SI1-yd996046	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/5181390172.pdf		04/30/18 15:30:57
12	round	1.50	H	SI1	Signature Ideal	62.3%	59%	GIA	1287059631	$9774	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2249383	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/1287059631.jpg	http://www.yadavjewelry.com/diamonds/videos/2249383	04/30/18 15:30:58
13	round	1.50	H	SI1	Signature Ideal	62.8%	55%	GIA	1288024613	$9774	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2131423	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/1288024613.jpg		04/30/18 15:30:59
14	round	1.54	H	SI1	Signature Ideal	62.0%	59%	GIA	2171644190	$9776	https://www.yadavjewelry.com/diamond/round-diamond-1.54-carat-H-SI1-yd995482	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/2171644190.pdf		04/30/18 15:31:00
15	round	1.51	H	SI1	Signature Ideal	61.3%	59%	GIA	6193179714	$9843	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd2379838	https://yadav-gemstone-graphics.s3.amazonaws.com/2379838_1.jpg	https://yadav-certs.s3.amazonaws.com/6193179714.pdf	http://www.yadavjewelry.com/diamonds/videos/2379838	04/30/18 15:31:01
16	round	1.56	H	SI1	Signature Ideal	61.5%	60%	GIA	2204788888	$9844	https://www.yadavjewelry.com/diamond/round-diamond-1.56-carat-H-SI1-yd2356784	https://yadav-gemstone-graphics.s3.amazonaws.com/2356784_1.jpg	https://yadav-certs.s3.amazonaws.com/2204788888.pdf		04/30/18 15:31:01
17	round	1.50	G	SI1	Signature Ideal	62.9%	58%	GIA	1278885011	$9888	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-G-SI1-yd2271382	https://yadav-gemstone-graphics.s3.amazonaws.com/2271382_1.jpg	https://yadav-certs.s3.amazonaws.com/1278885011.pdf	https://yadav-videos.s3.amazonaws.com/1278885011.mp4	04/30/18 15:31:02
18	round	1.50	H	SI1	Signature Ideal	61.5%	61%	GIA	7283107670	$9914	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2325512	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/7283107670.jpg	http://www.yadavjewelry.com/diamonds/videos/2325512	04/30/18 15:31:04
19	round	1.50	G	SI1	Signature Ideal	62.6%	55%	GIA	2181818812	$10017	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-G-SI1-yd2398198	https://yadav-gemstone-graphics.s3.amazonaws.com/2398198_1.jpg	https://yadav-certs.s3.amazonaws.com/2181818812.pdf	http://www.yadavjewelry.com/diamonds/videos/2398198	04/30/18 15:31:05
20	round	1.50	G	SI1	Signature Ideal	62.7%	57%	GIA	6271552379	$10051	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-G-SI1-yd2269398	https://yadav-gemstone-graphics.s3.amazonaws.com/2269398_1.jpg	https://yadav-certs.s3.amazonaws.com/6271552379.pdf	https://yadav-videos.s3.amazonaws.com/6271552379.mp4	04/30/18 15:31:06
21	round	1.50	H	SI1	Signature Ideal	60.4%	61%	GIA	2287577121	$10052	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2330884	https://yadav-gemstone-graphics.s3.amazonaws.com/2330884_1.jpg	https://yadav-certs.s3.amazonaws.com/2287577121.jpg	http://www.yadavjewelry.com/diamonds/videos/2330884	04/30/18 15:31:07
22	round	1.50	H	VS2	Signature Ideal	62.6%	59%	GIA	5181923041	$10156	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-VS2-yd2022082	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/5181923041.pdf		04/30/18 15:31:07
23	round	1.50	H	VS2	Signature Ideal	61.9%	61%	GIA	2183766991	$10156	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-VS2-yd2412028	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/2183766991.pdf		04/30/18 15:31:08
24	round	1.52	H	SI1	Signature Ideal	60.0%	60%	GIA	2277372055	$10164	https://www.yadavjewelry.com/diamond/round-diamond-1.52-carat-H-SI1-yd1856932	https://yadav-gemstone-graphics.s3.amazonaws.com/1856932_1.jpg	https://yadav-certs.s3.amazonaws.com/2277372055.pdf	http://www.yadavjewelry.com/diamonds/videos/1856932	04/30/18 15:31:09
25	round	1.50	H	SI1	Signature Ideal	57.0%	62%	GIA	3245419146	$10171	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd1859595	https://yadav-gemstone-graphics.s3.amazonaws.com/1859595_1.jpg	https://yadav-certs.s3.amazonaws.com/3245419146.pdf	http://www.yadavjewelry.com/diamonds/videos/1859595	04/30/18 15:31:10
26	round	1.50	G	SI1	Signature Ideal	62.8%	57%	GIA	2244938305	$10178	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-G-SI1-yd2231903	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/2244938305.pdf		04/30/18 15:31:10
27	round	1.50	G	SI1	Signature Ideal	61.7%	60%	GIA	2286692128	$10180	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-G-SI1-yd2416458	https://yadav-gemstone-graphics.s3.amazonaws.com/2416458_1.jpg	https://yadav-certs.s3.amazonaws.com/2286692128.pdf	http://www.yadavjewelry.com/diamonds/videos/2416458	04/30/18 15:31:11
