	shape	carat	color	clarity	cut	depth	table	lab	lab_id	price	url	img_url	cert_url	vid_url	date
0	round	1.50	H	SI1	Signature Ideal	62.4%	57%	GIA	7286210170	$9062	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2436818	https://yadav-gemstone-graphics.s3.amazonaws.com/2436818_1.jpg	https://yadav-certs.s3.amazonaws.com/7286210170.jpg	http://www.yadavjewelry.com/diamonds/videos/2436818	05/02/18 15:31:15
1	round	1.51	H	SI1	Signature Ideal	62.3%	58%	GIA	6285637035	$9080	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd2425046	https://yadav-gemstone-graphics.s3.amazonaws.com/2425046_1.jpg	https://yadav-certs.s3.amazonaws.com/6285637035.pdf	http://www.yadavjewelry.com/diamonds/videos/2425046	05/02/18 15:31:17
2	round	1.50	H	SI1	Signature Ideal	63.1%	57%	GIA	1186945208	$9119	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2441551	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/1186945208.pdf		05/02/18 15:31:17
3	round	1.50	H	SI1	Signature Ideal	61.4%	57%	GIA	1283746791	$9163	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2439408	https://yadav-gemstone-graphics.s3.amazonaws.com/2439408_1.jpg	https://yadav-certs.s3.amazonaws.com/1283746791.jpg	http://www.yadavjewelry.com/diamonds/videos/2439408	05/02/18 15:31:18
4	round	1.52	H	SI1	Signature Ideal	61.1%	57%	GIA	6285335911	$9165	https://www.yadavjewelry.com/diamond/round-diamond-1.52-carat-H-SI1-yd2419833		https://yadav-certs.s3.amazonaws.com/6285335911.pdf	http://www.yadavjewelry.com/diamonds/videos/2419833	05/02/18 15:31:21
5	round	1.51	H	SI1	Signature Ideal	62.1%	58%	GIA	2195212220	$9187	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd2437327	https://yadav-gemstone-graphics.s3.amazonaws.com/2437327_1.jpg	https://yadav-certs.s3.amazonaws.com/2195212220.jpg	http://www.yadavjewelry.com/diamonds/videos/2437327	05/02/18 15:31:22
6	round	1.51	H	SI1	Signature Ideal	62.4%	58%	GIA	7273838408	$9188	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd2436692	https://yadav-gemstone-graphics.s3.amazonaws.com/2436692_1.jpg	https://yadav-certs.s3.amazonaws.com/7273838408.jpg	http://www.yadavjewelry.com/diamonds/videos/2436692	05/02/18 15:31:23
7	round	1.50	H	SI1	Signature Ideal	60.0%	62%	GIA	1192135659	$9189	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2168942	https://yadav-gemstone-graphics.s3.amazonaws.com/2168942_1.jpg	https://yadav-certs.s3.amazonaws.com/1192135659.pdf	http://www.yadavjewelry.com/diamonds/videos/2168942	05/02/18 15:31:24
8	round	1.50	H	SI1	Signature Ideal	61.9%	59%	GIA	5181929505	$9216	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2432411	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/5181929505.pdf		05/02/18 15:31:26
9	round	1.51	H	SI1	Signature Ideal	61.3%	59%	GIA	6272533828	$9321	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd2434829	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/6272533828.pdf		05/02/18 15:31:27
