	shape	carat	color	clarity	cut	depth	table	lab	lab_id	price	url	img_url	cert_url	vid_url	date
0	round	1.50	H	SI1	Signature Ideal	62.4%	57%	GIA	7286210170	$9024	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2263136	https://yadav-gemstone-graphics.s3.amazonaws.com/2263136_1.jpg	https://yadav-certs.s3.amazonaws.com/7286210170.jpg	http://www.yadavjewelry.com/diamonds/videos/2263136	04/05/18 13:31:33
1	round	1.50	H	SI1	Signature Ideal	61.0%	60%	GIA	6272345472	$9119	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2047938	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/6272345472.pdf		04/05/18 13:31:36
2	round	1.50	H	SI1	Signature Ideal	62.8%	58%	GIA	6272979371	$9159	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2253071	https://yadav-gemstone-graphics.s3.amazonaws.com/2253071_1.jpg	https://yadav-certs.s3.amazonaws.com/6272979371.pdf	http://www.yadavjewelry.com/diamonds/videos/2253071	04/05/18 13:31:37
3	round	1.51	H	SI1	Signature Ideal	61.4%	60%	GIA	2185882162	$9179	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd2047939	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/2185882162.pdf		04/05/18 13:31:38
4	round	1.50	H	SI1	Signature Ideal	60.0%	62%	GIA	1192135659	$9189	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2168942	https://yadav-gemstone-graphics.s3.amazonaws.com/2168942_1.jpg	https://yadav-certs.s3.amazonaws.com/1192135659.pdf	http://www.yadavjewelry.com/diamonds/videos/2168942	04/05/18 13:31:39
5	round	1.51	H	SI1	Signature Ideal	62.4%	58%	GIA	7273838408	$9191	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd1974755	https://yadav-gemstone-graphics.s3.amazonaws.com/1974755_1.jpg	https://yadav-certs.s3.amazonaws.com/7273838408.jpg	http://www.yadavjewelry.com/diamonds/videos/1974755	04/05/18 13:31:39
6	round	1.50	H	SI1	Signature Ideal	62.7%	59%	GIA	2277552389	$9192	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2269424	https://yadav-gemstone-graphics.s3.amazonaws.com/2269424_1.jpg	https://yadav-certs.s3.amazonaws.com/2277552389.pdf		04/05/18 13:31:41
7	round	1.53	H	SI1	Signature Ideal	62.7%	58%	GIA	2274556315	$9228	https://www.yadavjewelry.com/diamond/round-diamond-1.53-carat-H-SI1-yd2272949	https://yadav-gemstone-graphics.s3.amazonaws.com/2272949_1.jpg	https://yadav-certs.s3.amazonaws.com/2274556315.pdf		04/05/18 13:31:42
8	round	1.51	H	SI1	Signature Ideal	62.7%	59%	GIA	6275748555	$9253	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd2269425	https://yadav-gemstone-graphics.s3.amazonaws.com/2269425_1.jpg	https://yadav-certs.s3.amazonaws.com/6275748555.pdf		04/05/18 13:31:43
9	round	1.51	H	SI1	Signature Ideal	61.1%	59%	GIA	1288226154	$9253	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd2272514	https://yadav-gemstone-graphics.s3.amazonaws.com/2272514_1.jpg	https://yadav-certs.s3.amazonaws.com/1288226154.pdf		04/05/18 13:31:45
10	round	1.50	H	SI1	Signature Ideal	62.8%	56%	GIA	6271733871	$9254	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2194632	https://yadav-gemstone-graphics.s3.amazonaws.com/2194632_1.jpg	https://yadav-certs.s3.amazonaws.com/6271733871.pdf	http://www.yadavjewelry.com/diamonds/videos/2194632	04/05/18 13:31:46
11	round	1.50	H	SI1	Signature Ideal	62.3%	60%	GIA	1285035761	$9254	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2253072	https://yadav-gemstone-graphics.s3.amazonaws.com/2253072_1.jpg	https://yadav-certs.s3.amazonaws.com/1285035761.pdf	http://www.yadavjewelry.com/diamonds/videos/2253072	04/05/18 13:31:47
12	round	1.56	H	SI1	Signature Ideal	62.6%	57%	GIA	6285095784	$9275	https://www.yadavjewelry.com/diamond/round-diamond-1.56-carat-H-SI1-yd2271944	https://yadav-gemstone-graphics.s3.amazonaws.com/2271944_1.jpg	https://yadav-certs.s3.amazonaws.com/6285095784.pdf		04/05/18 13:31:48
