	shape	carat	color	clarity	cut	depth	table	lab	price	url	img_url	cert_url	vid_url	date
52	round	1.50	G	SI1	Signature Ideal	62.6%	58%	GIA	$9770	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-G-SI1-yd2099076	https://yadav-gemstone-graphics.s3.amazonaws.com/2099076_1.jpg	https://yadav-certs.s3.amazonaws.com/2277945218.pdf	http://www.yadavjewelry.com/diamonds/videos/2099076	03/20/18 23:45:39
53	round	1.50	H	SI1	Signature Ideal	62.8%	55%	GIA	$9774	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2131423	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/1288024613.jpg		03/20/18 23:45:40
54	round	1.50	H	SI1	Signature Ideal	62.3%	59%	GIA	$9774	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2131420	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/1287059631.jpg		03/20/18 23:45:41
55	round	1.52	G	SI1	Signature Ideal	61.2%	60%	GIA	$9788	https://www.yadavjewelry.com/diamond/round-diamond-1.52-carat-G-SI1-yd2150039	https://yadav-gemstone-graphics.s3.amazonaws.com/2150039_1.jpg	https://yadav-certs.s3.amazonaws.com/7263056111.pdf	http://www.yadavjewelry.com/diamonds/videos/2150039	03/20/18 23:45:42
56	round	1.53	H	SI1	Signature Ideal	61.2%	61%	GIA	$9828	https://www.yadavjewelry.com/diamond/round-diamond-1.53-carat-H-SI1-yd2169492	https://yadav-gemstone-graphics.s3.amazonaws.com/2169492_1.jpg	https://yadav-certs.s3.amazonaws.com/2176428376.jpg		03/20/18 23:45:42
57	round	1.50	G	SI1	Signature Ideal	60.3%	60%	GIA	$9839	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-G-SI1-yd2111291	https://yadav-gemstone-graphics.s3.amazonaws.com/2111291_1.jpg	https://yadav-certs.s3.amazonaws.com/1278928869.pdf		03/20/18 23:45:43
58	round	1.50	H	VS2	Signature Ideal	61.8%	59%	GIA	$9848	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-VS2-yd2121940	https://yadav-gemstone-graphics.s3.amazonaws.com/2121940_1.jpg	https://yadav-certs.s3.amazonaws.com/6282055571.jpg	http://www.yadavjewelry.com/diamonds/videos/2121940	03/20/18 23:45:44
59	round	1.60	H	SI1	Signature Ideal	61.5%	58%	GIA	$9867	https://www.yadavjewelry.com/diamond/round-diamond-1.60-carat-H-SI1-yd2122663	https://yadav-gemstone-graphics.s3.amazonaws.com/2122663_1.jpg	https://yadav-certs.s3.amazonaws.com/2287302373.pdf		03/20/18 23:45:45
60	round	1.50	H	VS2	Signature Ideal	62.2%	57%	GIA	$9907	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-VS2-yd1547471	https://yadav-gemstone-graphics.s3.amazonaws.com/1547471_1.jpg	https://yadav-certs.s3.amazonaws.com/1275307785.jpg	http://www.yadavjewelry.com/diamonds/videos/1547471	03/20/18 23:45:46
61	round	1.50	H	SI1	Signature Ideal	61.5%	61%	GIA	$9914	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2131424	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/7283107670.jpg		03/20/18 23:45:46
